latitude,longitude,bezeichnung,art,kuenstler,entstehung,foto_wikipedia
54.090514002752329,12.105992012099275,Allegorische Figuren,Kunststeinplastik,Maximilian Preibisch,1937,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Massmannstrasse1.jpg
54.084091002752672,12.112666012096376,Arbeit,Kunststeinplastik,Margarete Scheel,1926,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Scheel_Arbeit.jpg
54.177864002742545,12.078933012112444,Archetypen Mann â€“ Frau,Bronzeplastik,Reinhard Buch,1995,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Archetypen_Buch.jpg
54.084496002753596,12.100271012101505,Arzt â€“ Patient,Betonwerksteinplastik,Reinhard Schmidt,1961,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Schmidt_Arzt-Patient.jpg
54.098267002752671,12.087723012106993,Aufblickender Akt,Bronzeplastik,Wieland FÃ¶rster,1963/64,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Kunsthalle4.jpg
54.098735002752591,12.088136012106832,Aufsteigender,Bronzeplastik,Fritz Cremer,1966/67,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Kunsthalle1.jpg
54.178928002742317,12.080024012112007,Badende,Bronzeplastik,Thomas Jastram,1998/99,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Maedchen2_Kurhaus.jpg
54.093616002752832,12.093936012104322,Beethoven,Relief,Paul Wallat,1930er Jahre,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Beethoven.jpg
54.098557002752599,12.088276012106773,Bellevue,Betonspritzgussplastik,Poulsen Eric,1979,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Kunsthalle2.jpg
54.088479002750269,12.135074012087239,Berufe,Keramikreliefs,Reinhard Dietrich,1980,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Universitaetsplatz_Reliefmedaillons.jpg
54.078807002755227,12.088923012106054,Besinnung,Bronzeplastik,Heinrich Drake,1976/77,http://de.wikipedia.org/w/index.php?title=Datei:Besinnung_Heinrich_Drake.jpg
54.090675002748924,12.147483012082182,Biblische Szenen,Bronzebeschlag,Jo Jastram,1999,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Petrikirche_Portal.jpg
54.083363002753423,12.104261012099828,BlÃ¼te,Metallplastik,Achim KÃ¼hn,2000,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Rembrandtstrasse.jpg
54.089483002749887,12.138212012085978,Bogenfries mit Tonfiguren,Reliefplastiken,,14. Jahrhundert,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Marienkirche_Turmfries3.jpg
54.090690002749895,12.136195012086828,Brunnenabdeckung,Metallplastik,Michael VoÃŸ,1990,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Hausbaumhaus_Brunnen.jpg
54.088375002750382,12.13367701208781,BÃ¼cherturm,Kalksandsteinplastik,Peter Makolies,1985,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_B%C3%BCcherturm.jpg
